name,plot_name,description
sample,Sample,"control or flood turmeric plant, and which biological replicate"
leaf_id,Leaf ID,which leaf that was analyzed from the same control or flood turmeric plant
treatment,Treatment,"whether the turmeric was kept as a control, or flooded"
abs,Absorbance,"wavelength of absorbance measurement at 630 nm, 645 nm, or 663 nm"
chloro_dil,Chlorophyll Diluted,absorbance measuremeants at 645 nm and 663 nm of diluted chlorophyll sample
sugar,Soluble Sugar Content,absorbance measuremeant at 630 nm of soluble sugar
efferves,Effervescence,Effervescence measurement for catalase activity in mL
